country,Date,Until,Headline,Description,Sources,MostPeaceful2023GPI
GT,2009.0,2011.0,Hydroelectric construction company hires armed private security to quell local opposition in Guatemala,"In the Q'anjob'al and Chug Territory of northern Huehuetenango, Guatemala, three proposed hydroelectric projects supported by the national government incite strong local opposition. The hydroelectric construction company hires armed private security personnel to quell confrontations and acts of vandalism.",Environmental Justice Atlas 2018,2.13
GT,2007.0,2017.0,A review of violence in Guatemala identifies more than 60 environmental activists killed and other instances of violence between,"Research by a professor at the University of Regina, Canada, finds that between 2007 and 2017 at least 61 Guatemalan activists were murdered for their work protecting rivers, lands, and the people who depend on them for their livelihoods.",Granovsky-Larsen 2018,2.13
GT,2018.0,,Brothers murdered for opposing hydropower project in Guatemala,Neri and Domingo Esteban Pedro were found murdered near the San Andres hydroelectric project on the Yal Witz River in western Guatemala. The brothers were vocal opponents of the project.,Ramon 2018,2.13
GT,2017.0,,Community demonstrator murdered while protesting local hydroelectric projects,"Don Sebastian Alonzo Juan, 72, is shot and killed while participating in a peaceful community demonstration in Yichkisis, village of San Mateo Ixtatan, Huehuetenango, Guatemala, against three local hydroelectric projects. The shots are reportedly fired by the private security guards hired by the hydroelectric project company.",Simon 2018,2.13
GT,2014.0,,Pojom II hydroelectric project facilities set on fire,The Pojom II hydroelectric project facilities are set on fire. This is one of three proposed hydroelectric projects in the northern Huehuetenango region of Guatemala that has been opposed by many of the local community.,Environmental Justice Atlas 2018,2.13
GT,2010.0,,Guatemalans mine protestors shot,Two unidentified gunmen on a motorbike shoot an activist protesting the impacts of mining on water quality and local water rights.,Amnesty International 2012,2.13
SD,2003.0,2007.0,Sudan targets water in civil war,"The ongoing civil war in the Sudan has included violence against water resources. In 2003, villagers from around Tina said that bombings had destroyed water wells. In Khasan Basao they alleged that water wells were poisoned. In 2004, wells in Darfur were intentionally contaminated as part of a strategy of harassment against displaced populations.",Amnesty International 2004,3.023
SD,2019.0,,A fight over the price of water leads to deadly clashes in Sudan,"A woman was killed in a dispute over the price of water in El Gedaref, Sudan. This violent clash triggers more fighting between familial groups, leading to at least eight more deaths and dozens of injuries.",Dabanga 2019,3.023
SD,2017.0,,Clashes in Darfur between farmers and herders over water access result in deaths,At least 70 people have been killed in the past few months in clashes between farmers and herders over access to water resources and land in the southern part of Darfur.,UN News Centre 2017,3.023
SD,2017.0,,11 injured in clashes between farmers and herdsmen over access to water,"Eleven people are injured after clashes between herdsmen over a water point in South Kordofan, Sudan.",Raleigh et al 2010 ID. 318310,3.023
SD,2017.0,,Civilians protesting lack of access to water are reportedly beaten and tortured,"Five people from a citizen water committee and local police in El Fasher, North Darfur, Sudan, are reportedly beaten and tortured by military officers after asking the military to allow local residents to organize and take water from a local source. Residents stage protests against the violent reaction of the military.",Sudanese Online 2017,3.023
SD,2017.0,,Fighting between two clans in Sudan over ownership of water point leaves six dead,"Fighting between two clans near Lagawa, West Kordofan, Sudan over ownership of a water point leaves six dead and several others wounded.",Raleigh et al 2010 ID. 318582,3.023
SD,2017.0,,"Four people killed in clash over access to a water point in North Darfur, Sudan","Former Sudan Liberation Army-Abdul Wahid (SLA-AW) rebels and Arab nomads clash over access to a water point in Kebkabiya, North Darfur, Sudan, resulting in the death of a total of four people from both sides of the conflict.",Raleigh et al 2010 ID. 318587,3.023
SD,2017.0,,Protests over water outages turn violent in Sudan,"People protesting water outages are dispersed by police officers in Port Sudan, Red Sea, Sudan.",Raleigh et al 2010 ID. 318759,3.023
SD,2016.0,,Guard at water well in the Sudan is attacked,"A guard at water wells in the Um Burma area, Sudan is attacked and severely injured by paramilitaries.",Dabanga 2016,3.023
SD,2014.0,,"Militia burn and loot South Darfur refugee camp, destroying water wells","Armed Janjaweed militia burn and loot a South Darfur refugee camp, killing a local sheikh, injuring others, looting property and livestock, and destroying all water wells.",Radio Dabanga 2014,3.023
SD,2008.0,,Unknown gunmen kidnap four Sudanese government drivers of the state water corporation,"Unknown gunmen kidnap four Sudanese government drivers of the state water corporation in Um Tajok, Darfur and steal a drilling rig. It is not known if the kidnapped persons and drilling rig are returned.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 200803200009,3.023
SD,2008.0,,Assailants attempt to damage a water pump outside of a refugee camp in Darfur,"At the Hassa Hissa camp near Zalinjay, Gharb Darfur, Sudan, ten assailants attempt to damage a water pump outside of an internally displaced person (IDP) camp. The armed men open fire on the pump and set fire to the pump and five generators. The assailants fight with occupants of the camp, wounding one. No group claims responsibility, although it is widely believed the Janjaweed Militia is responsible.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 200812010034,3.023
SD,2007.0,,Violent protests against the Kajbar Dam in Sudan,Angry villagers in the Sudan stage protests against Kajbar Dam; four villagers are killed by government militia.,Bosshard 2009,3.023
SD,2006.0,,Sudanese anti-dam militia attacks school,"Militia of the Merowe Dam Militia Implementation Unit in the Sudan attack a gathering of villagers concerned about the community impacts of the dam at a school in Amri village, killing three farmers and injuring more than 50 others.",Bosshard 2009,3.023
SD,2004.0,,Militias smash water wells,Janjaweed militias smash water wells and burn both food and seeds in the Jebel Marra area. They also allegedly throw dead bodies into some open wells.,Raleigh et al N.D. I.D. 5576261,3.023
SD,2004.0,,Rebels destroy offices of local water utility,Rebels destroy several houses and the offices of the local police and water utility.,"Raleigh et al N.D. I.D. 4987151, 4987157",3.023
SD,2000.0,,Clashes between rioters and police over water shortages,Sudanese rioters who are protesting against the failure of schools to reopen as well as water and electricity shortages clash with police who intervene to quell the riot. At least one student is killed and many are injured.,Raleigh et al N.D. I.D. 5576946,3.023
SD,1998.0,,Clashes between rival tribes over water,"Clashes between rival tribes (Rezaigat and Massalit) over water and grazing rights leave more than 100 people dead and about 45 villages gutted in West Darfur, Sudan.",Raleigh et al N.D. I.D. 5328198,3.023
EC,2002.0,2016.0,Community opposition to a hydroelectric dam project in Ecuador results in numerous violent confrontations,"A hydroelectric dam project proposed for the Dulcepamba River in Ecuador is the target of local community opposition and protests are staged to block the project. Clashes between the local communities, hired security guards, and state police leave several protestors injured. The communities also receive violent threats from police. Two community members are arrested. In 2015 the construction of the hydroelectric dam begins, flooding properties and destroying farmland.",Environmental Justice Atlas 2019,2.095
EC,1995.0,,"Ecuador, Peru fight over Cenepa River",Armed skirmishes arise in part because of disagreement over the control of the headwaters of Cenepa River. Wolf argues that this is primarily a border dispute simply coinciding with location of a water resource.,Samson and Charrier 1997,2.095
ML,2019.0,,37 killed in herder-farmer conflict over water and land resources in Mali,37 civilians are killed in the ongoing conflict between herders and farmers who are fighting over access to water and land resources in central Mali.,Agence France-Press (AFP) 2019c,2.963
ML,2019.0,,More than 130 killed in Mali in conflict between hunters and herders over land and water,"More than 130 people are killed in the conflict between hunter and herder communities in Mali. In this instance, Dogon hunters are accused of attacking Fulani herders.",TRT World 2019,2.963
ML,2019.0,,"50,000 people flee their homes in central Mali as conflict escalates over land and water","A series of massacres in central Mali, fueled by conflict over land and water resources, causes 50,000 people to flee their homes.",Webb 2019,2.963
ML,2018.0,,"At least 8 more killed in ongoing conflict over access to water between farmers and herders, Mali","At least eight more people die in an ongoing conflict between the Fulani and Dogon communities in Mali near the town of Koro, sparked by access to water and grazing disputes. Since March 2018, the total death toll from this ongoing conflict is reported to be 25.",Agence France-Presse (AFP) 2018a,2.963
ML,2017.0,,Water pumps destroyed in conflict over access to water in Mali,"People identified as militants destroy several water pumps and a number of fields and seize cattle in Kewa, Djenne, Mopti, Mali.",Raleigh et al 2010 ID. 247138,2.963
ML,2013.0,,Islamic militants cut water supply to Timbuktu,"Attacks by Islamic militants on utilities cut water supply to Timbuktu, Mali. There are also reports that Malian forces carried out executions in the conflict area near the towns of Sevare, Mopti, and Niono with bodies being dumped in water wells.",Formanek Smith-Spark and Netto 2013,2.963
ML,2008.0,,Security forces open fire on water privitization protesters in Mali,"One person is killed and five injured when security forces open fire on protests over an attempt to privatize water services in Lere, northwestern Mali.",Agence France-Presse (AFP) 2008,2.963
ML,2002.0,,Protests over the increase in water tariffs,"Protesters in Bamako, Mali protest the increase of water and power tariffs by the government.",Raleigh et al N.D. I.D. 5566892,2.963
ML,1999.0,,Fighting breaks out over the use of a watering hole,Malian herdsmen in Missira-Samoura refuse to allow a horseman from Mauritania to use a watering hole. The Mauritanian horseman rides off and returns to the village with other men. Fighting breaks out and results in two people being killed.,Raleigh et al N.D. I.D. 5281066,2.963
ML,2012.0,,Water clash on border of Mali and Burkina Faso,"A clash along the border between Dogon villagers from Mali and nomadic Fulani herders from Burkina Faso kills at least 30 people, after an earlier agreement to share water and pasture land was revoked. Chaos following a military coup in March is partly responsible for the breakdown in law and order in Mali.",Xinhua News 2012a,2.963
TD,2019.0,,Disputes between herders and farmers over access to water lead to growing violence in Chad,Herders and farmers who used to coexist peacefully are now inflicting deadly wounds on each other over fights driven by water shortages in the Sahel region of Chad.,Agence France-Presse (AFP) 2019a,2.699
IN,2019.0,,One death reported in a fight over water in southern India during a severe heat wave,"In Tamil Nadu, India, a 33 year old man dies as the result of a fight that broke out over water. India is experiencing a heat wave with temperatures reaching higher than 50 degrees C/120 degrees F.",Agence France-Presse (AFP) 2019b,2.314
IN,2019.0,,"One man stabs six others in a fight over water shortages in Ranchi, India during severe heat wave","In Ranchi, India, one man stabs six other people due to water shortages. India is experiencing a heat wave with temperatures reaching higher than 50 degrees C/120 degrees F.",Agence France-Presse (AFP) 2019b,2.314
IN,2019.0,,India responds to deadly attack by threatening to curtal water deliveries to Pakistan,"An attack by a Pakistan-based group that killed at least 40 Indian soldiers has worsened tensions between the two countries, prompting Indian leaders to threaten to curtail water deliveries from rivers flowing into Pakistan. Curtailment of water deliveries could undermine the 1960 Indus Water Treaty, which stipulates the sharing of water resources between the two countries.",Al Jazeera 2019,2.314
IN,2019.0,,A man is stabbed by his neighbor over a water sharing dispute in India,"A man is stabbed by his neighbor over a water sharing dispute in Chennai, India. Current drought and water supply management problems have led to lack of water for millions living in the city.",British Broadcasting Corporation (BBC) 2019,2.314
IN,2019.0,,A grandmother and her grandson are beaten when seeking water from a private well,"A grandmother and her grandson in a small village in India insist on being allowed to use a private well to get water. The well owner refuses and sends men to beat the grandmother and grandson with sticks, injuring them both. The owner is concerned that his well cannot provide water to the entire village and therefore, he does not want to provide water to anyone.",Indo-Asian News Service 2019,2.314
IN,2019.0,,"Numerous fights, including attacks on water tankers, break out over access to water in Madhya Pradesh, India during severe heat","Water shortages in Madhya Pradesh, India intensify during a heat wave, leading to numerous violent conflicts among Indian civilians. In one instance in Khajrana a water truck driver is beaten. In another instance in Panna, eight people are injured during a fight. The local government responds to the violence by ordering police to escort water trucks.",Times of India 2019,2.314
IN,2019.0,,Two men are seriously injured in clash over access to water in India,"Two men are seriously injured in a clash over water in Krishna Nagar Colony, India.",Times of India 2019,2.314
IN,2018.0,,Water shortages in India lead to deadly fights between civilians and harassment of water company employees,"Lack of water in cities across India -- due to drought, growing populations, and inadequate infrastructure -- leads to high tensions, resulting in at least two deaths when a fight breaks out between residents waiting in line at a water truck. Those working for the water companies with the responsibility of turning different water lines on and off, called ""key men,"" are increasingly harassed by residents wanting to persuade them to keep their water on.",Abi-Habib and Kumar 2018,2.314
IN,2017.0,,"Police kill five farmers during protests over water shortages in Madhya Pradesh, India","Water shortages due to drought and mismanagement contribute to violent unrest of farmers in Madhya Pradesh, India. During one protest, police shoot into a crowd, killing five protestors.",Wu 2017,2.314
IN,2016.0,,Scarce water supplies in drought regions of India spark violence,"Scarce water supplies in drought-hit regions of India spark violence. As northern and central India suffer thorough severe drought and heat, police in Bundelkhand and several other regions including Tikamgarh are reporting a rise in violent, often deadly clashes over water. Indian police report that the fighting is getting more frequent and bloody, with numerous injuries and deaths reported.",Niazi 2016a,2.314
IN,2016.0,,Protests against the building of dams on the Brahmaputra River in India,"Protests against the building of dams on the Brahmaputra River in India's Himalayan state of Arunachal Pradesh turns violent, leading to two deaths and additional injuries. Both China and India have put forward plans for nearly 150 dams in the region, with major local opposition.","Third Pole, The 2016",2.314
IN,2016.0,,"Riots over water in Bangalore, India","At least two people die and others are injured in riots over water in Bangalore, India in the state of Karnataka. The unrest starts when the Indian Supreme Court orders Karnataka to release water from dams on the Kaveri river to neighboring Tamil Nadu. Over 400 people were arrested.","Mortimer 2016, Gowen 2016",2.314
IN,2016.0,,18 killed and 200 injured after reopening of the Munak canal,"At least 18 people are killed and 200 injured after the Indian Army intervenes to reopen the Munak canal, which supplies New Dehli with three-fifths of its freshwater supply. The canal is shut down by economic protests in Harayana state. Sabotage of the canal left more than 10 million people in India's capital, Delhi, without water.",Sethi 2016,2.314
IN,2016.0,,Armed gaurds clash with farmers over drought-struck region of Bundelkhand,Armed guards and farmers clash over access to water from Jamunia River at the Bari Ghat Dam in the drought-struck region of Bundelkhand.,"Das 2016, Niazi 2016b",2.314
IN,2016.0,,Attack on a local dam in India,"A group of heavily armed militants fire blank rounds of bullets at a dam, creating panic amoung the locals. No casualties are reported.",Nath 2016,2.314
IN,2016.0,,"Water shortage led to clashes between two groups in the parched Sehore district, India","Water shortage led to clashes between two groups in the parched Sehore district, India leaving 7 people injured and one critical.",Times of India 2016,2.314
IN,2013.0,,Pakistan and India clash over Siachen Glacier,"Tensions continue between India and Pakistan over access to and control of the Siachen Glacier in Kashmir, with a demand by Pakistan that India withdraw troops stationed there.",Press Trust of India (PTI) 2013,2.314
IN,2012.0,,Pakistani militants attack water systems in Kashmir,"Violence erupts in the latest event in the dispute between Pakistan and India over the waters of the Indus Basin. Pakistani militants attack and sabotage water systems, flood protection works, and dams in the Wular Lake region of northern Kashmir. They attack engineers and workers and detonate explosives at the unfinished Tulbul Navigation Lock/Wular Dam. Pakistan claims the new dam violates the Indus Water Treaty by cutting flows to Pakistan.",Ul Hassan 2012,2.314
IN,2012.0,,Militants block work at the Wullar Dam construction site in India,"Militants block work at the Wular Conservation Project (Wular Dam) construction site in the Baramulla District of India - a project opposed by Pakistan. Officials suggest that these militants may have been sent by Pakistan because of their concerns that the project is in violation of Pakistani interests under the Indus Water Treaty of 1960. Sources said that eight of the 16 militants who stopped work of the Project are Pakistani nationals. India says the dam is not in violation of the Treaty and would, if completed, be used only for transportation purposes. Pakistan believes the Indian control over Jhelum waters has the potential to disrupt the Pakistan-Upper Jhelum Canal, Upper Chenab Canal, and the Lower Bari Doab Canal.",Hamid 2012a,2.314
IN,2014.0,,Upper caste women reportedly restrict access to water sources,Tensions revive in the area of Jammu and Kashmir in early 2014 when upper caste women reportedly restrict access to higher quality water sources.,Sharma 2014,2.314
IN,2014.0,,Armed bandits force villages to pay a 'water tax',"Drought in northern India causes local bandits to threaten to kill nearby villagers unless they deliver water to their rural hideouts. Twenty-eight local villages obey the order and take turns paying what the bandits call a daily ""water tax.'",Banerjee 2014,2.314
IN,2014.0,,Water construction equipment damaged,"Maoists in Dharambandha, India claim responsibility for a bombing attack on a culvert and the excavation machine being used to build a canal.","New Indian Express, The 2014",2.314
IN,2013.0,,Water shortage leads to local fighting in India,"An acute water shortage in Ahmednagar district, Maharashtra, India leads to fights among locals and one death. The government expresses concern about large-scale public unrest due to a severe drought and major water shortages.",Express News Service 2013,2.314
IN,2013.0,,Water tanker in Myanmar is attacked,"Employees of the private company Assam Rifles are escorting a water tanker near the Manipur-Myanmar border when they are attacked with a remotely-detonated bomb. No one is reported injured, however the water tanker is damaged.",Laithangbam 2013,2.314
IN,2012.0,,Injuries during protest over dam releases in India's Cauvery River,"Thousands of farmers in Karnataka try to prevent the release of water from two dams (Krishna Raja Sagar and Kabini) on the Kaveri River. Injuries to protestors and police are reported. The water releases are ordered by the Indian Supreme Court, which requires Karnataka to deliver water downstream state of Tamil Nadu despite severe drought. The dispute continues later in the year when Karnataka again halts releases.",Walton 2012,2.314
IN,2012.0,,Violent protests over water shortages in New Delhi,"Scuffles and protests break out around New Delhi during the summer of 2012 as residents surround water delivery trucks and fight over water. The summer is the hottest in 33 years, leading to extensive energy and water shortages.",Reuters 2012b,2.314
IN,2012.0,,Women assaulted for attempting to take well water in India,Women from the village of Rasooh are reportedly assaulted for attempting to take water from a village well. The tensions over water are related to long-standing tensions between caste groups but have been worsened by drought and water shortage.,Sharma 2014,2.314
IN,2011.0,,Unidentified militants blow up a water pump,"In Mogahataburu village in West Singhbhum, Jharkhand, India, unidentified militants blow up a water pump, causing an unknown amount of property damage but resulting in no casualties. The specific motive for the attack is unknown; however, it is believed the bombing is to protest the ongoing operation against militants in Saranda forest. No group claims responsibility, but it is suspected that Communist Party of India-Maoist (CPI-M) militants are responsible.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201103180002,2.314
IN,2010.0,,Violent water protest in India,A protest about water shortages in the National Capital Territory of Delhi in India leads to violence. Erratic water supply and cutoffs in the Kondli area of Mayur Vihar in East Delhi causes a violent protest and several injuries.,Gosh 2010,2.314
IN,2010.0,,Protestors killed and injured in,"At least three deaths and dozens of injuries are reported during protests over land and water given away for a power plant in Sompeta in Srikakulam district in Andhra Pradesh, India.","Hindu, The 2011",2.314
IN,2010.0,,Militants blow up pump houses belonging to the Steel Authority of India Limited (SAIL) and to the railways,"On Monday, in the Karrampada area of West Singbhum, Jharkhand, India, suspected Communist Party of India - Maoist (CPI-Maoist) militants blow up two pump houses, one belonging to the Steel Authority of India Limited (SAIL) and the other to the railways. Water supply is affected in the area as a result of the attack. No casualties are reported.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201004190016,2.314
IN,2009.0,,Drought and water inequities spark killings India,"A family in Madhya Pradesh state in India is killed by a small mob for illegally drawing water from a municipal pipe. Others run to collect water for themselves before the pipe runs out. Drought and inequality in water distribution lead to increasing conflict in the region. Indian media report more than 50 violent clashes in the state capital, Bhopal during May alone. Since January, 12 people are killed and even more injured.",Singh 2009,2.314
IN,2009.0,,Man killed in Mumbai protest over water cuts,Police clash with hundreds of Mumbai residents protesting water cuts. One man is killed and a dozen others injured. Mumbai authorities are forced to ration supplies after the worst monsoon season in decades.,Chandran 2009,2.314
IN,2007.0,,"Injuries at protest in Orissa, India",Thousands of farmers breach security and storm the area of Hirakud dam to protest allocation of water to industry. Minor injuries are reported during the conflict between the farmers and police.,Statesman News Service 2007,2.314
IN,2006.0,,200 people attack home of Water Resource Minister,"A group of around 200 people attack the home residence of Kamlesh Kumar Singh, the Jharkhand Water Resources Minister, in Kamgarpur, Palamu District, India. The minister is not home during the attack.",RAND Database of Worldwide Terrorism Incidents 2018,2.314
IN,2006.0,,Two bombs explode at a water collection point,Two bombs detonate at a water collection point near a village in India. No one is injured from the explosions.,RAND Database of Worldwide Terrorism Incidents 2018,2.314
IN,2004.0,,Terrorists bomb water pipe in India,"Twelve Indian security forces are killed by an IED planted in an underground water pipe during ""counter-insurgency operation in Khanabal area in Anantnag district.'",Times News Network (TNN) 2004,2.314
IN,2004.0,,Police kill water protestors in India,"Four people are killed in October and more than 30 injured in November in ongoing protests by farmers over allocations of water from the Indira Ghandi Irrigation Canal in Sri Ganganagar district, which borders Pakistan. Authorities impose curfews on the towns of Gharsana, Raola and Anoopgarh.",Indo-Asian News Service 2004,2.314
IN,2003.0,,Group bombs a rural water supply office and other offices,"A rural water supply office building is blown up along with other offices, in Parkal, India.",RAND Database of Worldwide Terrorism Incidents 2018,2.314
IN,2002.0,,"Deadly clash in Kashmir, India",Two people are killed and 25 others injured in Kashmir when police fire at a group of villagers clashing over water sharing. The incident took place in Garend village in a dispute over sharing water from an irrigation stream.,Agence France-Presse (AFP) 2002,2.314
IN,2002.0,,Violence over Cauvery River in India,"Continuing violence over the allocation of the Kaveri River between Karnataka and Tamil Nadu. Riots, property destruction, more than 30 injuries, arrests through September and October.","Hindu, The 2002a",2.314
IN,2002.0,,Indian military protecting reservoir attacked by terrorists,"A camp of the Assam Rifles of the Indian military at Yairipok in Thoubal district with a mission to protect a water reservoir is attacked by suspected terrorists who fired grenades and other explosives on January 27. Later, a spokesman for the United National Liberation Front (UNLF) claims that the attack was carried out by its armed wing, the Manipur People's Army, which has been fighting for what it called an ""Independent Manipur.""",South Asian Intelligence Review 2002,2.314
IN,1999.0,,"Water riots in Gujarat, India","Three people die and 20 are injured in December 1999 in Falla, Gujarat when the police open fire on 300 people protesting against the state government's decision to reserve water from the nearby Kankavati Dam for Jamnagar a neighboring town. The dam had become the only source of water for about 60 villages near Falla, and shortages and overdraft of groundwater contribute to a water crisis.",Financial Times Global Water Report (FTGWR) 2000,2.314
MX,2019.0,,"Indigenous environmental activist Samir Flores Soberanes is killed in Mexico, reportedly over opposition to a project that threa","Samir Flores Soberanes, an indigenous environmental activist from Mexico, is killed in his home for his opposition to the Proyecto Integral Morelos, a thermoelectric plant and pipeline that threatened local water and land resources. The Moreles state prosecutor claims that the murder has nothing to do with the thermoelectric plant project. The People?s Front in Defence of the Land and Water for the states of Morelos, Puebla and Tlaxcala (FPDTA) state that the only enemies that Soberanes had were those involved with the project.",Agren 2019,2.599
MX,2017.0,,"Two communities clash over water, leaving one dead","A fight over water resources erupts in Oaxaca, Mexico, on May 17 between neighboring community members, leaving one dead, several injured, and numerous houses destroyed. The conflict began when one community, San Pedro y San Pablo Ayutla, connected to another community's (Tamazul?pam del Esp?ritu Santo) water pipes without permission.",Mexico News Daily 2018,2.599
MX,2014.0,,Village clashes with police over spring,"A confrontation over a water spring between 1,500 police and residents of a village on Mexico City's western outskirts leaves more than 100 police injured and five people arrested. It is the latest in a series of clashes over increasingly scarce water in the city, which draws much of its supply from surrounding states. Local governments say they are trying to extend municipal supply to the area; residents are afraid the objective is to take control over a local water source.",Stevenson 2014,2.599
MX,2014.0,,Protests over spring diversion erupts in violence,"Protestors in San Bartolo Ameyalco on the outskirts of Mexico City battle anti-riot police during a protest to prevent the diversion of local spring water to a new development nearby. More than 100 people are injured, some seriously.",Becerra 2014,2.599
MX,2004.0,,Mexican farmers shot in duel over spring,"Two Mexican farmers argue for years over water rights to a small spring used to irrigate a small corn plot near the town of Pihuamo. In March, these farmers shoot each other dead.",Reuters 2004b,2.599
LY,2019.0,,"The water supply to Tripoli, Libya is cut off during war","The water supply serving Tripoli, Libya's capital city, is cut off by gunmen that force employees managing the system to turn off the flow of water. The war is between Libya's National Army and UN-backed forces and has been ongoing since 2014.",Elumami 2019,2.605
LY,2019.0,,Shelling and airstrikes destroy water supply systems in Tripoli during ongoing war in Libya,"Heavy shelling and airstrikes between April and June of 2019 destroy water infrastructure in Tripoli, Libya.",International Committee of the Red Cross (ICRC) 2019,2.605
LY,2018.0,,Water project workers killed and kidnapped by suspected militant group,"Daesh militants are suspected of two attacks to workers of the Great Man-made River, a large water supply project that transports water from the Sahara desert to communities and agricultural fields in northern Libya. During the first attack four technicians from the Al-Hassouna plant are kidnapped, but later released. During the second attack two workers are killed and two guards are kidnapped.",OOSKANews Correspondent 2018,2.605
LY,2016.0,,Islamic State militants raid Great Manmade River Project pumping station,"Around 60 Islamic State militants raid the Great Manmade River (GMR) project station in Ash Shwayrif, southwest of Sirte. This system provides water to the Libyan Sahara and the northern cities of Benghazi, Sirte, and Tripoli.",UN Security Council 2017,2.605
LY,2015.0,,Attack on water supply reservoir in Libya,"A reservoir appears to have been the target of an attack by supposed Muslim fundamentalists in the city of Zintan, Jabal Al Gharbi district, Libya.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201503050029,2.605
LY,2014.0,,Libyan tribal disputes include attacks on pumps,"Disputes between two tribes in Libya, the Zwai and Tebu, include attacks on power stations and power cut for the pumps that operate the 'Man Made River' pipeline system, leading to water shortages.",Adel 2014,2.605
LY,2013.0,,Militants attack pumping station in Libya,"Water for the capital of Libya, Tripoli is disrupted by an attack in southern Libya on a pumping station for the country's 'Great Man Made River' by militants loyal to former Libyan leader Muammar al-Gaddafi.",Stratfor 2013,2.605
LY,2013.0,,Militias cut off water supplies to Tripoli,Militias cut off water supplies to Tripoli for several days in continuing unrest in the country.,Hurriyet Daily News 2013,2.605
LY,2012.0,,Gaddafi cuts of water to Libya's capital,"During the 2011 Libyan Civil War, forces loyal to dictator Muammar Gaddafi gain control of a water operations center and cut off water supply to the capital. The system controls Libya's Great Manmade River""a system of pumps, pipes, and canals that brings water from distant aquifers to Tripoli and other cities. Half the country is left without running water, prompting the UN and neighboring countries to mobilize tanker ships to deliver water to coastal cities.",Walton 2012,2.605
LY,2011.0,,NATO attacks water pipe factory in Libya,"NATO forces attack on a factory that produces pipes for the ""Great Man-Made River"" water supply pipeline near Brega, reporting that it was used as a base for military operations and the launching of missiles.",Center for Research on Globalization (CRG) 2013,2.605
LY,2011.0,,Multiple attacks on Libyan water networks disrupt supply.,"NATO bombs a plant that builds pipelines for the Great Manmade River project that carries water from southern groundwater to coastal cities. Major water networks are disrupted in this conflict, which affects access to safe drinking water, sanitation, and hygiene throughout Libya. Armed groups attack water wells cutting off water to civilians.",UN Human Rights Council 2016,2.605
GH,2019.0,,Violence erupts in rural Ghana between Chokosis and Bimobas communities as groups fight over land and access to water resources,"In Chereponi district, Ghana, houses are burned to the ground, animals are killed, and many flee as violence erupts along ethnic lines between Chokosis and Bimobas peoples who are fighting over land and water resources.",GhanaWeb 2019,1.799
GH,2017.0,,Fighting over access to water between herdsmen and farmers,Fighting is reported between youth and herdsmen over the alleged killing of a farmer by the herdsmen and the destruction of water sources used by their cattle.,Raleigh et al 2010 ID. 227232,1.799
GH,2017.0,,Demonstration over access to clean drinking water turns violent.,"Demonstrations led by residents of Ketu South, Volta, Ghana, who are upset about the drying up of domestic groundwater wells,turn violent. Property is damaged and clashes between residents and police result in the death of one resident and the injury of two others.",Raleigh et al 2010 ID. 227239,1.799
AF,2010.0,2013.0,Water disputes between Iran and Afghanistan escalate,"Disputes over water between Iran and Afghanistan are escalating. One Afghan newspaper, Weesa, suggests that Iran blocked the transport of fuel oil to Afghanistan in 2010 as a means to put more pressure on the country over water. An Iranian editorial calls for bolder action by the Foreign Ministry and states that any aid to Afghanistan should be linked to ""Iran's rights to water."" In 2011, Mullah Dadullah, a Taliban commander captured in southwestern Afghanistan by Afghan authorities, claims to have been trained in Iran to sabotage projects in Afghanistan, including being offered $50,000 to destroy the Kamal Khan Dam, a claim Iran has denied. Shakila Hakimi, a member of the Nimroz provincial council, accuses Iran in 2012 of conducting an insurgency in order to prevent construction of the Kamal Khan Dam.",Aman 2013,3.448
AF,2001.0,,Taliban cuts off vital water supply to Iran,"During a 2001 drought, Taliban authorities cut off the flow of the Helmand River between Afghanistan and Sistan-Baluchestan, Iran, which relies on the Helmand as its only source of irrigation. The Iranian government allegedly responds by entering Afghanistan and building a series of diversion canals to restore flows. A 1973 water agreement between the two countries is never ratified and both Iran and Afghanistan have reported violations.",Karimi and Hulpachova 2015,3.448
AF,2018.0,,"Alleged support of Taliban by Iran, in part to disrupt water projects in Afghanistan","Attacks to the city of Farah in the western region of Afghanistan in early 2018 by the Taliban may, in part, be supported by Iran in an attempt to reduce Afghanistan's ability to pursue water dam infrastructure projects. Experts disagree to the amount of support given to Taliban militants by Iran, but water projects in Afghanistan's western region are indisputably a point of contention between the two nations.",Hussein and Jedinia 2018,3.448
AF,2017.0,,Suspected Taliban militants blow up irrigation dam in Afghanistan,"Suspected Taliban militants blow up a dam storing water for irrigation in Shorabak, Kandahar, Afghanistan.",Raleigh et al 2010 ID. 359877,3.448
AF,2015.0,,Iranian border guards open fire on Afghan villagers accessing river water,"A dispute over the allocation and rights to water from the Hari Rud River between Afghanistan and Iran leads to at least ten deaths when Iranian border guards allegedly open fire on Afghan villagers trying to collect river water. The river provides water for agricultural production in Herat province, Afghanistan, and to the downstream Iranian city of Mashhad, Iran's second largest city.",Karimi and Hulpachova 2015,3.448
