country,gdp,inflation,tax_revenue_pct_gdp,unemployment_pct,electricity_access_pct,suicide_rate,birth_rate,death_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,democracy_score,democracy_type,median_age,title
Togo,8126440000,7.96757,13.5836,4.066,55.7401,8.8,31.856,8.168,34.9841,62,-995,4400474,4448225,8848699,3.1,Authoritarian,14.8,President
Tonga,469228000,10.9714,,3.011,100,3.8,23.045,6.97,71.5866,71,-948,54010,52848,106858,0,Unknown,17.9,Prime Minister
Trinidad and Tobago,27899100000,2.05923,19.5188,3.982,100,8.7,11.687,9.131,79,73,2632,775955,755090,1531044,7.16,Flawed democracy,31.9,Prime Minister
Tunisia,46664900000,8.30646,20.1155,16.124,99.9,3.3,16.093,7.884,78.9897,74,-9189,6257745,6098372,12356117,6.41,Flawed democracy,28,President
Turkey,9.06E+11,72.3088,17.8818,10.03,100,2.4,14.678,6.398,81.41,76,-69729,42578812,42762429,85341241,4.37,Hybrid regime,27.3,President
Turkmenistan,45610600000,,,5.019,100,5.7,21.592,6.585,21.251,69,-4503,3244911,3185860,6430770,1.72,Authoritarian,22,President
Tuvalu,60349400,0.500581,,,99.6824,,23.484,10.159,71.5866,65,-15,5513,5799,11312,0,Unknown,21,Prime Minister
Uganda,45559200000,7.19579,12.4589,4.28,45.2203,4.6,36.795,5.877,10.3424,63,43465,23848253,23401332,47249585,5.2,Hybrid regime,12.2,President
Ukraine,1.61E+11,20.1836,19.0823,9.83,100,21.6,7.3,18.5,79.2183,70,831,20550751,17449249,38000000,5.69,Hybrid regime,38.9,President
United Arab Emirates,5.08E+11,4.82789,0.535446,2.754,100,6.4,10.307,1.874,100,79,-2762,2893385,6547744,9441129,2.76,Authoritarian,29.3,President
United Kingdom,3.07E+12,7.92205,26.3807,3.571,100,7.9,10.1,9.7,96.6802,81,202027,33876563,33094847,66971411,8.53,Full democracy,35.9,Prime Minister
United States,2.55E+13,8.0028,11.2336,3.611,100,16.1,11,10.4,91.7532,76,561580,168266219,165021339,333287557,7.96,Flawed democracy,33.9,President
Uruguay,71177100000,9.10438,18.5155,7.841,100,21.2,10.473,12.162,90.0738,75,-1486,1764421,1658372,3422794,8.38,Full democracy,31.5,President
Uzbekistan,80391900000,11.4466,14.7859,6.006,99.9,8,25.9,5,76.5904,71,-39201,17809564,17838536,35648100,2.01,Authoritarian,22.7,President
Vanuatu,983583000,2.34328,14.0403,2.089,70.0428,18,29.438,5.395,66.3357,70,-197,162433,164308,326740,0,Unknown,15.6,Prime Minister
Venezuela,4.82E+11,254.949,,5.328,99.9877,2.1,15.877,8.124,61.6,71,-525116,14304904,13996791,28301696,3.16,Authoritarian,24.2,President
Vietnam,4.09E+11,3.15651,,1.923,100,7.5,15.008,7.317,74.21,74,-992,49685569,48501287,98186856,3.08,Authoritarian,28.4,General Secretary of the Communist Party
West Bank and Gaza,19111900000,1.23748,21.4746,25.724,100,,28.236,3.815,74.6,73,-12369,2527169,2516444,5043612,4.39,Hybrid regime,15.4,
Yemen,21606200000,8.10473,,13.59,74.8772,5.8,30.544,6.845,26.7184,64,-101468,16673411,17023203,33696614,1.95,Authoritarian,14.8,President
Zambia,29784500000,10.9932,16.7416,6.131,46.6851,7.3,34.511,6.973,21.2315,61,9015,10140033,9877642,20017675,5.61,Hybrid regime,13.2,President
Zimbabwe,20678100000,104.705,7.21477,7.945,48.9799,14.1,30.537,9.057,34.814,59,-25005,8614935,7705601,16320537,3.16,Authoritarian,14.2,President
