country,democracy_score,democracy_type,currentLeadership,InternetFreedomStatus,CountriesWhereAlcoholIsIllegal,countriesWhereAbortionIsIllegal_legality,genderEqualityByCountry_gendEqal2021,genderEqualityByCountry_econ,genderEqualityByCountry_education,genderEqualityByCountry_health,genderEqualityByCountry_polit,CountriesWhereWearingBurqaIsMandatoryHijabMandatory,countriesWithMandatoryMilitaryService_mandatoryService,LgbtqGAI,LgbtqEEI,LgbtqTSI,LgbtqConsensualSameSexActs,LgbtqDeathPenalty,LgbtqMaxPenalty,LgbtqSameSexUnions,LgbtqSameSexMarriages,LgbtqSameSexAdoptions
SG,6.38,Flawed democracy,Prime Minister,Partly Free,,No restriction,0.727,0.749,0.99,0.963,0.208,,Yes,5.86,52.0,18.0,Illegal - 1938,No,2 yrs prison,No,No,No
SK,7.1,Flawed democracy,,,,No restriction,0.712,0.682,1.0,0.98,0.184,,De jure,4.82,56.0,186.0,Legalized 1962,No,,No,No,No
SI,7.5,Flawed democracy,Prime Minister,,,No restriction,0.741,0.803,1.0,0.977,0.184,,No,6.21,66.0,242.0,Legalized 1977,No,,Legalized 2005,No,No
SB,0.0,Unknown,Prime Minister,,,To save the mothers life,,,,,,,,,31.0,-85.0,Illegal - 1963,No,14 yrs prison,No,No,No
SO,0.0,Unknown,Prime Minister,,Illegal,To save the mothers life,,,,,,,De jure,1.59,2.0,-150.0,Illegal - 1964,Possible,varies (3yrs to death),No,No,No
ZA,7.24,Flawed democracy,President,Free,,No restriction,0.781,0.658,0.994,0.979,0.493,,No,6.01,76.0,292.0,Legalized 1998,No,,Legalized 2006,Legalized 2006,Legalized 2002
SS,0.0,Unknown,President,,,To save the mothers life,,,,,,,Yes,2.73,22.0,-126.0,Illegal - 2008 (updated ,No,10 yrs prison + fines,No,No,No
ES,8.08,Full democracy,President,,,No restriction,0.788,0.699,0.998,0.965,0.491,,De jure,8.77,82.0,341.0,Legalized 1979,No,,Legalized 2011,Legalized 2005,Legalized 2005
LK,6.19,Flawed democracy,President,Partly Free,,To save the mothers life,0.67,0.547,0.988,0.98,0.167,,No,3.23,38.0,-91.0,Illegal - 1995,No,10 yrs prison,No,No,No
KN,0.0,Unknown,,,,To preserve physical/mental health,,,,,,,,3.71,34.0,-52.0,Illegal - 2002,No,10 yrs w/w-out hard labor,No,No,No
LC,0.0,Unknown,,,,To preserve physical/mental health,,,,,,,No,3.8,36.0,-75.0,Illegal - 2004,No,10 yrs prison,No,No,No
VC,0.0,Unknown,,,,To preserve health/on socioeconomic grounds,,,,,,,,3.04,21.0,-70.0,Illegal - 1988,No,10 yrs prison,No,No,No
SD,2.15,Authoritarian,Leader of the Sovereignty Council,Not Free,Partially legal,To save the mothers life,,,,,,,Yes,2.99,11.0,-109.0,Illegal - 2020,No,Life in prison,No,No,No
SR,6.98,Flawed democracy,President,,,Prohibited altogether,0.729,0.703,0.993,0.969,0.252,,No,4.64,59.0,171.0,Legalized 1869,No,,No,No,No
SE,9.39,Full democracy,Prime Minister,,,No restriction,0.823,0.81,0.996,0.962,0.522,,Yes,9.18,81.0,378.0,Legalized 1944,No,,No,Legalized 2009,Legalized 2003
CH,9.03,Full democracy,President,,,No restriction,0.798,0.743,0.992,0.964,0.494,,Yes,8.0,78.0,325.0,Legalized 1942,No,,Legalized 2007,Legalized 2022,Second-parent only
SY,1.43,Authoritarian,President,,,To save the mothers life,0.568,0.285,0.953,0.965,0.067,,Yes,5.22,29.0,,Illegal - 1949,No,3 yrs prison,No,No,No
TJ,1.93,Authoritarian,President,,,No restriction,0.65,0.574,0.942,0.969,0.112,,Yes,1.56,52.0,25.0,Legalized 1998,No,,No,No,No
TZ,5.41,Hybrid regime,President,,,To save the mothers life,0.707,0.703,0.921,0.97,0.235,,unclear,3.27,17.0,-120.0,Illegal - 1998,No,Life in prison,No,No,No
TH,4.63,Hybrid regime,Prime Minister,Not Free,,To preserve physical/mental health,0.71,0.787,0.992,0.978,0.084,,Yes,5.81,52.0,131.0,Legalized 1957,No,,Pending,No,Pending
BS,0.0,Unknown,Prime Minister,,,To preserve physical health,0.725,0.857,1.0,0.98,0.064,,No,4.09,51.0,50.0,Legalized 1991,No,,No,No,No
GM,4.31,Hybrid regime,President,Partly Free,,To preserve physical/mental health,0.644,0.607,0.891,0.968,0.112,,No,2.44,10.0,-139.0,Illegal - 1934 (updated 2014),No,Unclear,No,No,No
TL,7.19,Flawed democracy,,,,To save the mothers life,,,,,,,Uncertain,,33.0,10.0,Legalized 1975,No,,No,No,No
TG,3.1,Authoritarian,President,,,To preserve physical health,0.683,0.787,0.782,0.979,0.185,,No,3.15,18.0,-45.0,Illegal - 2015,No,3 yrs prison,No,No,No
TO,0.0,Unknown,Prime Minister,,,Prohibited altogether,,,,,,,No,,47.0,-155.0,Illegal - 1988,No,10 yrs or whipping,No,No,No
TT,7.16,Flawed democracy,Prime Minister,,,To preserve physical/mental health,,,,,,,,4.7,37.0,71.0,Legalized 2018,No,,No,No,No
TN,6.41,Flawed democracy,President,Partly Free,Partially legal,No restriction,0.649,0.445,0.97,0.969,0.212,,Yes,3.38,19.0,-91.0,Illegal - 2010,No,3 yrs prison + fines,No,No,No
TR,4.37,Hybrid regime,President,Not Free,,No restriction,0.638,0.486,0.975,0.967,0.123,,Yes,3.94,32.0,40.0,Legalized 1858,No,,No,No,No
TM,1.72,Authoritarian,President,,Partially legal,No restriction,,,,,,,Yes,,36.0,-65.0,Illegal - 2019,No,5 yrs + psych treatment,No,No,No
TV,0.0,Unknown,Prime Minister,,,To save the mothers life,,,,,,,,,36.0,-75.0,Illegal - 1965,No,14 yrs prison,No,No,No
UG,5.2,Hybrid regime,President,Partly Free,,To save the mothers life,0.717,0.692,0.898,0.98,0.296,,No,3.63,13.0,-92.0,Illegal - 2000,No,Unclear,No,No,No
UA,5.69,Hybrid regime,President,Partly Free,,No restriction,0.714,0.732,1.0,0.978,0.147,,Yes,2.91,47.0,80.0,Legalized 1991,No,,No,No,No
AE,2.76,Authoritarian,President,Not Free,Illegal,To save the mothers life,0.716,0.51,0.987,0.963,0.403,,Yes,,10.0,-134.0,Illegal - 1987 (updated 2016),Possible,varies (14 yrs to death),No,No,No
GB,8.53,Full democracy,Prime Minister,Free,Partially legal,To preserve health/on socioeconomic grounds,0.775,0.716,0.999,0.966,0.419,,No,8.34,84.0,347.0,Legalized (various 1967-1982),No,,Legalized 2005,Legalized 2014,Legalized 2005-2013
US,7.96,Flawed democracy,President,Free,,Varies by state,0.763,0.754,1.0,0.97,0.329,,De jure,7.42,82.0,267.0,Legalized (various 1962-2003),No,,Varied,Legalized 2015,Legalized 2015
US,7.96,Flawed democracy,President,Free,,Varies by state,0.763,0.754,1.0,0.97,0.329,,De jure,,,264.0,Legalized 1985,No,,No,Legalized 2015,Legalized 2015
UY,8.38,Full democracy,President,,,No restriction,0.702,0.69,1.0,0.98,0.14,,De jure,7.9,86.0,306.0,Legalized 1934,No,,Legalized 2008,Legalized 2013,Legalized 2009
UZ,2.01,Authoritarian,President,Not Free,,No restriction,,,,,,,Yes,3.68,40.0,-65.0,Illegal - 1994,No,3 yrs prison,No,No,No
VU,0.0,Unknown,Prime Minister,,,To preserve physical health,0.625,0.576,0.947,0.975,0.0,,,,71.0,,Legal - never illegal,No,,No,No,No
VE,3.16,Authoritarian,President,Not Free,,To save the mothers life,0.699,0.617,0.998,0.98,0.199,,Yes,5.51,50.0,34.0,Legalized 1836,No,,No,No,No
VN,3.08,Authoritarian,General Secretary of the Communist Party,Not Free,,No restriction,0.701,0.765,0.982,0.945,0.113,,Yes,4.99,52.0,54.0,Legal - never illegal,No,,No,No,No
PS,4.39,Hybrid regime,,,Partially legal,,,,,,,,,3.2,16.0,-106.0,Varied,No,10 yrs prison (Gaza only),No,No,No
YE,1.95,Authoritarian,President,,Illegal,To save the mothers life,0.492,0.282,0.717,0.968,0.001,,No,3.41,,-128.0,Illegal - 1994,Yes,"Death (males), 3 yrs (females)",No,No,No
ZM,5.61,Hybrid regime,President,Partly Free,,To preserve health/on socioeconomic grounds,0.726,0.804,0.938,0.98,0.18,,No,2.04,18.0,-104.0,Illegal - 1933,No,14 yrs prison,No,No,No
ZW,3.16,Authoritarian,President,Partly Free,,To preserve physical health,0.732,0.763,0.977,0.98,0.21,,No,1.57,27.0,-52.0,Illegal - 2004,No,1 yr prison + fines,No,No,No
TW,,,,,,To preserve health/on socioeconomic grounds,,,,,,,Yes,5.74,66.0,188.0,Legalized 1912,No,,Legalized 2015,Legalized 2019,Related & second-parent only
HK,,,,,,To preserve health/on socioeconomic grounds,,,,,,,,6.38,,99.0,Legalized 1991,No,,No,No,No
CW,,,,,,,,,,,,,No,,,50.0,Legalized 1869,No,,No,No,No
BM,,,,,,,,,,,,,No,,,,Legalized 1994,No,,No,No,Legalized 2015
PR,,,,,,,,,,,,,,7.52,,210.0,Legalized 2003,No,,No,Legalized 2016,Legalized 2018
GP,,,,,,,,,,,,,,,,,Legalized 1816,No,,Legalized 1999,Legalized 2013,Legalized 2013
MQ,,,,,,,,,,,,,,,,,Legalized 1815,No,,Legalized 1999,Legalized 2013,Legalized 2013
YT,,,,,,,,,,,,,,,,,Legal - never illegal,No,,Legalized 2006,Legalized 2013,Legalized 2013
GF,,,,,,,,,,,,,,,,,Legalized 1817,No,,Legalized 1999,Legalized 2013,Legalized 2013
PF,,,,,,,,,,,,,,,,,Legal - never illegal,No,,No,Legalized 2013,Legalized 2013
NC,,,,,,,,,,,,,,,,,Legal - never illegal,No,,Legalized 2009,Legalized 2013,Legalized 2013
GU,,,,,,,,,,,,,,,,289.0,Legalized 1977,No,,No,Legalized 2015,Legalized 2015
AW,,,,,,,,,,,,,,,,138.0,Legalized 1869,No,,Legalized 2016,No,No
IM,,,,,,,,,,,,,,,90.0,,Legalized 1992,No,,Legalized 2010,Legalized 2016,Legalized 2011
KY,,,,,,,,,,,,,,,,59.0,Legalized 2001,No,,Legalized 2020,No,No
GL,,,,,,,,,,,,,,,,,Legalized 1933,No,,Replaced,Legalized 2016,Legalized 2016
FO,,,,,,,,,,,,,,,,,Legalized 1933,No,,No,Legalized 2017,Legalized 2017
MP,,,,,,,,,,,,,,,,85.0,Legalized 1983,No,,No,Legalized 2015,Legalized 2015
TC,,,,,,,,,,,,,,,,50.0,Legalized 2001,No,,No,No,No
SX,,,,,,,,,,,,,,,,75.0,Legalized 1869,No,,No,No,No
AS,,,,,,,,,,,,,,,,,Legalized 1980,No,,No,No,No
GI,,,,,,,,,,,,,,,,,Legalized 1993,No,,Legalized 2014,Legalized 2016,Legalized 2014
MF,,,,,,,,,,,,,,,,,Legalized 1791,No,,Legalized 1999,Legalized 2013,Legalized 2013
CK,,,,,,,,,,,,,,,,,Illegal - 1969,No,varies,No,No,No
AI,,,,,,,,,,,,,,,,,Legalized 2001,No,,No,No,No
WF,,,,,,,,,,,,,,,,,Legal - never illegal,No,,Legalized 2009,Legalized 2013,Legalized 2013
BL,,,,,,,,,,,,,,,,,Legalized 1878,No,,Legalized 1999,Legalized 2013,Legalized 2013
PM,,,,,,,,,,,,,,,,,Legalized 1814,No,,No,Legalized 2013,Legalized 2013
MS,,,,,,,,,,,,,,,,,Legalized 2001,No,,No,No,No
FK,,,,,,,,,,,,,,,,,Legalized 1989,No,,Legalized 2017,Legalized 2017,Legalized 2017
NU,,,,,,,,,,,,,,,,,Legalized 2007,No,,No,No,No
TK,,,,,,,,,,,,,,,,,Legalized 2007,No,,No,No,No
VA,,,,,,,,,,,,,,,56.0,,Legalized 1890,No,,No,No,No
